Utbildningsområde,Utbildningsnamn,Län,Kommun,Antal kommuner,Flera kommuner,YH-poäng,Utbildningsanordnare,Ansökningsomgång,Diarienummer
Data/IT,.NET Utvecklare ,Västra Götaland,Göteborg,1,False,400,Plushögskolan AB - Teknikhögskolan,2020,MYH 2020/4403
Data/IT,.NET-utvecklare,Stockholm,Stockholm,1,False,400,IT-Högskolan Stockholm AB,2020,MYH 2020/5766
Data/IT,.NET-utvecklare,Västra Götaland,Göteborg,1,False,400,IT-Högskolan Sverige AB,2020,MYH 2020/5764
Data/IT,Agil Javautvecklare,Gävleborg,Gävle,1,False,400,Edugrade AB,2020,MYH 2020/5827
Data/IT,Agil projektledare,Skåne,Malmö,1,False,225,IHM Business School AB Malmö,2020,MYH 2020/5354
Data/IT,Agil projektledare,Stockholm,Stockholm,1,False,225,IHM Business School AB Stockholm,2020,MYH 2020/5326
Data/IT,Agil systemutvecklare i Java och JavaScript  ,Norrbotten,Piteå,1,False,400,Lernia Utbildning AB,2020,MYH 2020/5071
Data/IT,Agile Project Manager ,Stockholm,Stockholm,1,False,300,Changemaker Educations AB,2020,MYH 2020/4824
Data/IT,Applikationsutvecklare mobila enheter,Flera kommuner,Flera kommuner,2,True,400,KYH AB,2020,MYH 2020/4432
Data/IT,Backend-utvecklare,Flera kommuner,Flera kommuner,2,True,400,"Uddevalla kommun, Vuxenutbildningen",2020,MYH 2020/4560
Data/IT,Cloud and IT-infrastructure specialist,Kalmar,Kalmar,1,False,400,"Kalmarsunds Gymnasieförbund, Axel Weüdelskolan",2020,MYH 2020/4804
Data/IT,Cloud developer Azure,Västra Götaland,Göteborg,1,False,400,IT-Högskolan Sverige AB,2020,MYH 2020/5759
Data/IT,Data Analyst,Stockholm,Stockholm,1,False,400,Hyper Island Program AB - Stockholm,2020,MYH 2020/5145
Data/IT,Data Scientist,Flera kommuner,Flera kommuner,2,True,400,EC Utbildning AB Helsingborg,2020,MYH 2020/5325
Data/IT,Data Scientist,Stockholm,Solna,1,False,400,EC Utbildning AB Stockholm,2020,MYH 2020/5003
Data/IT,DevOps Engineer,Skåne,Malmö,1,False,400,JENSEN Education School AB,2020,MYH 2020/5725
Data/IT,DevOps Engineer,Stockholm,Solna,1,False,400,Nackademin AB,2020,MYH 2020/5245
Data/IT,DevOps Engineer,Stockholm,Stockholm,1,False,415,Chas Academy AB,2020,MYH 2020/5801
Data/IT,Front End Developer,Flera kommuner,Flera kommuner,5,True,400,KYH AB,2020,MYH 2020/4521
Data/IT,Front End Developer Distans,Stockholm,Stockholm,1,False,400,Medieinstitutet i Sverige AB,2020,MYH 2020/5676
Data/IT,Front end webbutvecklare,Skåne,Malmö,1,False,400,Grit Academy AB,2020,MYH 2020/4907
Data/IT,Frontend / App Developer,Stockholm,Stockholm,1,False,450,Changemaker Educations AB,2020,MYH 2020/4827
Data/IT,Frontendutvecklare,Värmland,Karlstad,1,False,400,Folkuniversitetet Kursverksamheten vid Göteborgs universitet,2020,MYH 2020/5048
Data/IT,Frontend-utvecklare,Stockholm,Solna,1,False,400,Nackademin AB,2020,MYH 2020/5302
Data/IT,Fullstack Webbutvecklare,Stockholm,Stockholm,1,False,420,Chas Academy AB,2020,MYH 2020/4926
Data/IT,Futuregames Spelprogrammerare,Flera kommuner,Flera kommuner,2,True,550,Changemaker Educations AB,2020,MYH 2020/4849
Data/IT,Internet of Things Developer,Västra Götaland,Göteborg,1,False,410,KYH AB Göteborg,2020,MYH 2020/4578
Data/IT,iOS/Android Developer,Stockholm,Stockholm,1,False,400,Stiftelsen Stockholms Tekniska Institut,2020,MYH 2020/4821
Data/IT,IT-Infrastructure and cloud engineer,Stockholm,Stockholm,1,False,400,Lernia Utbildning AB,2020,MYH 2020/5092
Data/IT,IT-infrastrukturspecialist,Stockholm,Solna,1,False,400,Nackademin AB,2020,MYH 2020/5317
Data/IT,IT-projektledare,Stockholm,Stockholm,1,False,300,IT-Högskolan Stockholm AB,2020,MYH 2020/5803
Data/IT,IT-projektledare,Västra Götaland,Göteborg,1,False,300,IT-Högskolan Sverige AB,2020,MYH 2020/5805
Data/IT,IT-säkerhetsspecialist,Flera kommuner,Flera kommuner,2,True,400,Plushögskolan AB - Teknikhögskolan,2020,MYH 2020/4925
Data/IT,IT-säkerhetstekniker,Stockholm,Solna,1,False,400,Nackademin AB,2020,MYH 2020/5322
Data/IT,Java Enterprise Utvecklare,Västra Götaland,Göteborg,1,False,400,"Göteborgs Stad, Yrgo",2020,MYH 2020/5257
Data/IT,Javautvecklare,Stockholm,Stockholm,1,False,400,IT-Högskolan Stockholm AB,2020,MYH 2020/5824
Data/IT,Java-utvecklare,Skåne,Lund,1,False,400,Plushögskolan AB - Teknikhögskolan,2020,MYH 2020/4449
Data/IT,Kravanalytiker,Skåne,Malmö,1,False,400,Newton Kompetensutveckling AB,2020,MYH 2020/5125
Data/IT,Microsoft 365 Developer,Stockholm,Solna,1,False,400,EC Utbildning AB Stockholm,2020,MYH 2020/5367
Data/IT,"Mjukvaruutvecklare, inbyggda system - Malmö",Skåne,Malmö,1,False,400,Movant AB,2020,MYH 2020/4958
Data/IT,Moln- och virtualiseringstekniker,Flera kommuner,Flera kommuner,3,True,400,Folkuniversitetet - Stiftelsen Kursverksamheten vid Uppsala universitetet,2020,MYH 2020/5240
Data/IT,Objektorienterad programmering med AI-kompetens,Halland,Halmstad,1,False,300,Handelsakademin i Göteborg AB,2020,MYH 2020/5049
Data/IT,Objektorienterad programmering med AI-kompetens,Skåne,Malmö,1,False,300,Handelsakademin i Göteborg AB,2020,MYH 2020/5051
Data/IT,"PlaygroundSquad, Upplevelse- och Spelprogrammering",Dalarna,Falun,1,False,450,Tension Education AB,2020,MYH 2020/4832
Data/IT,Programvarutestare,Flera kommuner,Flera kommuner,2,True,400,KYH AB,2020,MYH 2020/4516
Data/IT,Pythonutvecklare med inriktning AI,Västmanland,Västerås,1,False,400,Plushögskolan AB - Teknikhögskolan,2020,MYH 2020/5284
Data/IT,Spelprogrammerare,Stockholm,Stockholm,1,False,550,TGA Utbildning AB,2020,MYH 2020/4932
Data/IT,Systemingenjör,Västmanland,Arboga,1,False,400,"Arboga kommun, Vuxenutbildningen",2020,MYH 2020/5249
Data/IT,Systemutvecklare - objektorienterad systemutveckling,Västra Götaland,Göteborg,1,False,400,Handelsakademin i Göteborg AB,2020,MYH 2020/5216
Data/IT,Systemutvecklare .NET,Halland,Varberg,1,False,400,Campus Varberg/Varbergs kommun,2020,MYH 2020/5338
Data/IT,Systemutvecklare .Net med AI-kompetens,Flera kommuner,Flera kommuner,2,True,405,Edugrade AB,2020,MYH 2020/5843
