"kön","utbildningens inriktning","ålder","2020","2021","2022","2023","2024"
"totalt","Data/It","totalt",5647,5387,5831,6445,6490
"totalt","Ekonomi, administration och försäljning","totalt",7991,6522,6602,7034,6531
"totalt","Friskvård och kroppsvård","totalt",167,180,210,230,122
"totalt","Hotell, restaurang och turism","totalt",1479,1369,1069,1155,1251
"totalt","Hälso- och sjukvård samt socialt arbete","totalt",5221,5343,5415,5076,4761
"totalt","Journalistik och information","totalt",369,351,293,283,232
"totalt","Juridik","totalt",209,178,141,144,135
"totalt","Kultur, media och design","totalt",1505,1547,1569,1770,1660
"totalt","Lantbruk, djurvård, trädgård, skog och fiske","totalt",677,806,816,931,1019
"totalt","Pedagogik och undervisning","totalt",889,878,883,488,414
"totalt","Samhällsbyggnad och byggteknik","totalt",5636,4787,4815,5090,5518
"totalt","Säkerhetstjänster","totalt",313,209,345,342,301
"totalt","Teknik och tillverkning","totalt",5094,4886,4674,5277,6111
"totalt","Transporttjänster","totalt",776,626,609,823,741
"totalt","Övrigt","totalt",189,213,222,122,140
