"kön","utbildningens inriktning","ålder","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"totalt","Totalt","totalt",11574,13323,14652,15298,16572,16792,16855,15801,17697,18442,18334,19600,20642,23052,28561,36162,33282,33494,35210,35426
"totalt","Data/It","totalt",1096,998,1149,1064,1089,1164,1286,1476,1811,2356,2718,2355,2302,2285,3584,5647,5387,5831,6445,6490
"totalt","Ekonomi, administration och försäljning","totalt",2841,3630,4069,4526,4939,4758,4940,4569,4950,4518,3794,4666,5000,6040,7100,7991,6522,6602,7034,6531
"totalt","Friskvård och kroppsvård","totalt",251,374,351,393,373,235,135,125,148,86,154,110,108,133,155,167,180,210,230,122
"totalt","Hotell, restaurang och turism","totalt",902,1186,1277,1157,1151,1108,1056,893,1058,1024,999,1013,977,980,1217,1479,1369,1069,1155,1251
"totalt","Hälso- och sjukvård samt socialt arbete","totalt",1611,1620,1681,1623,1686,1932,2024,1914,2241,2677,2462,2754,3143,3683,4334,5221,5343,5415,5076,4761
"totalt","Journalistik och information","totalt",0,35,62,63,101,114,141,76,253,283,193,321,344,368,411,369,351,293,283,232
"totalt","Juridik","totalt",0,62,62,67,68,73,73,106,111,77,132,130,171,172,181,209,178,141,144,135
"totalt","Kultur, media och design","totalt",1177,1077,1114,1055,1048,908,890,854,984,1032,1027,1008,1142,1076,1279,1505,1547,1569,1770,1660
"totalt","Lantbruk, djurvård, trädgård, skog och fiske","totalt",648,618,648,651,691,767,555,596,588,522,600,667,606,537,662,677,806,816,931,1019
"totalt","Pedagogik och undervisning","totalt",16,88,100,101,86,306,293,160,258,247,194,334,315,603,712,889,878,883,488,414
"totalt","Samhällsbyggnad och byggteknik","totalt",787,942,1026,1217,1371,1413,1705,1721,1801,1968,2276,2407,2730,3339,4039,5636,4787,4815,5090,5518
"totalt","Säkerhetstjänster","totalt",182,192,258,239,213,173,147,117,96,171,181,96,69,187,221,313,209,345,342,301
"totalt","Teknik och tillverkning","totalt",1700,1900,2194,2381,2937,3027,2838,2558,2982,3024,2927,2880,2771,2970,3704,5094,4886,4674,5277,6111
"totalt","Transporttjänster","totalt",363,601,661,732,789,784,703,529,325,412,610,755,854,603,775,776,626,609,823,741
"totalt","övrigt","totalt",0,0,0,29,30,30,69,107,91,45,67,104,110,76,187,189,213,222,122,140

