Utbildningsområde,Utbildningsnamn,Län,Kommun,Antal kommuner,Flera kommuner,YH-poäng,Utbildningsanordnare,Ansökningsomgång,Diarienummer
Data/IT,.NET-utvecklare med molninriktning,Stockholm,Stockholm,1,False,400,JENSEN Education School AB,2024,MYH 2024/3043
Data/IT,Advanced Software Developer Embedded Systems,Västra Götaland,Trollhättan,1,False,400,YH Akademin AB,2024,MYH 2024/3281
Data/IT,AI Developer,Stockholm,Stockholm,1,False,400,JENSEN Education School AB,2024,MYH 2024/3048
Data/IT,Backend Developer inriktning Cloud,Västra Götaland,Göteborg,1,False,400,Handelsakademin i Göteborg AB,2024,MYH 2024/3436
Data/IT,Cloud Developer,Västra Götaland,Mölndal,1,False,400,Yrkeshögskola Campus Mölndal,2024,MYH 2024/4178
Data/IT,Cloud- och Infrastrukturspecialist,Kronoberg,Växjö,1,False,420,EC Utbildning AB Växjö,2024,MYH 2024/3364
Data/IT,Customer Data Developer,Stockholm,Stockholm,1,False,400,IHM Business School AB Stockholm,2024,MYH 2024/3246
Data/IT,Cybersäkerhetstekniker - Etisk Hackare,Flera kommuner,Flera kommuner,3,True,435,Edugrade AB,2024,MYH 2024/4220
Data/IT,Data Engineer,Stockholm,Solna,1,False,400,Nackademin AB,2024,MYH 2024/3809
Data/IT,Front End Developer,Skåne,Malmö,1,False,400,Medieinstitutet i Sverige AB,2024,MYH 2024/4205
Data/IT,Front End Developer,Stockholm,Stockholm,1,False,400,Medieinstitutet i Sverige AB,2024,MYH 2024/4208
Data/IT,Frontend Developer,Stockholm,Stockholm,1,False,400,Hyper Island Program AB - Stockholm,2024,MYH 2024/3428
Data/IT,Frontend-utvecklare,Västra Götaland,Göteborg,1,False,400,IT-Högskolan Sverige AB,2024,MYH 2024/4107
Data/IT,Frontendutvecklare för mobil och webb,Stockholm,Stockholm,1,False,425,Chas Academy AB,2024,MYH 2024/3678
Data/IT,Frontendutvecklare med UX-kompetens,Stockholm,Stockholm,1,False,420,Chas Academy AB,2024,MYH 2024/3663
Data/IT,Fullstackutvecklare .NET,Flera kommuner,Flera kommuner,4,True,400,Chas Academy AB,2024,MYH 2024/4127
Data/IT,Fullstackutvecklare .NET,Stockholm,Stockholm,1,False,400,Chas Academy AB,2024,MYH 2024/3851
Data/IT,Fullstackutvecklare Java,Flera kommuner,Flera kommuner,4,True,430,Chas Academy AB,2024,MYH 2024/4213
Data/IT,Fullstackutvecklare JavaScript,Stockholm,Stockholm,1,False,430,Chas Academy AB,2024,MYH 2024/3667
Data/IT,IT och cybersäkerhetstekniker,Flera kommuner,Flera kommuner,3,True,420,Chas Academy AB,2024,MYH 2024/4101
Data/IT,JavaScript-utvecklare,Stockholm,Stockholm,1,False,400,IT-Högskolan Stockholm AB,2024,MYH 2024/4151
Data/IT,JavaScript-utvecklare,Västra Götaland,Göteborg,1,False,400,IT-Högskolan Sverige AB,2024,MYH 2024/4152
Data/IT,Javautvecklare,Skåne,Malmö,1,False,400,Grit Academy,2024,MYH 2024/3961
Data/IT,Javautvecklare,Stockholm,Solna,1,False,400,Nackademin AB,2024,MYH 2024/3816
Data/IT,Javautvecklare,Västra Götaland,Göteborg,1,False,400,IT-Högskolan Sverige AB,2024,MYH 2024/4255
Data/IT,Javautvecklare med molninriktning,Stockholm,Stockholm,1,False,400,JENSEN Education School AB,2024,MYH 2024/3110
Data/IT,Mjukvaruutvecklare inriktning mobilitetstjänster,Flera kommuner,Flera kommuner,6,True,400,Folkuniversitetet Kursverksamheten vid Göteborgs universitet,2024,MYH 2024/4053
Data/IT,MLOps Engineer,Stockholm,Solna,1,False,500,Nackademin AB,2024,MYH 2024/3856
Data/IT,Moln- och virtualiseringsspecialist,Västra Götaland,Mölndal,1,False,400,Yrkeshögskola Campus Mölndal,2024,MYH 2024/4190
Data/IT,Pythonutvecklare inom AI,Stockholm,Solna,1,False,400,Nackademin AB,2024,MYH 2024/3805
Data/IT,Server- och virtualiseringsspecialist,Örebro,Örebro,1,False,400,EC Utbildning AB Örebro,2024,MYH 2024/3290
Data/IT,Spelprogrammerare,Skåne,Malmö,1,False,550,TGA Utbildning AB,2024,MYH 2024/3852
Data/IT,Systemutvecklare .NET,Flera kommuner,Flera kommuner,2,True,420,TUC Sweden AB - Yrkeshögskola,2024,MYH 2024/3514
Data/IT,Systemutvecklare .NET,Skåne,Malmö,1,False,400,Newton Kompetensutveckling AB,2024,MYH 2024/3686
Data/IT,Systemutvecklare .NET,Västra Götaland,Borås,1,False,400,Borås Stad - Yrkeshögskolan i Borås,2024,MYH 2024/4222
Data/IT,Systemutvecklare.NET,Skåne,Malmö,1,False,400,Medieinstitutet i Sverige AB,2024,MYH 2024/4028
Data/IT,UX Designer,Flera kommuner,Flera kommuner,2,True,405,EC Utbildning AB Malmö,2024,MYH 2024/3367
Data/IT,UX Designer,Västra Götaland,Göteborg,1,False,400,"Göteborgs Stad, Yrgo",2024,MYH 2024/3917
Data/IT,UX-Designer,Skåne,Malmö,1,False,410,Medieinstitutet i Sverige AB,2024,MYH 2024/4249
Data/IT,Webbutvecklare,Jönköping,Jönköping,1,False,400,TUC Sweden AB - Yrkeshögskola,2024,MYH 2024/3768
Data/IT,Webbutvecklare,Västra Götaland,Göteborg,1,False,400,"Göteborgs Stad, Yrgo",2024,MYH 2024/3358
Data/IT,Webbutvecklare .NET,Jönköping,Värnamo,1,False,400,Tekniska Högskolan i Jönköping AB,2024,MYH 2024/3700
"Ekonomi, administration och försäljning",Account Manager – Hållbar Försäljning,Stockholm,Stockholm,1,False,230,Hermods AB Stockholm,2024,MYH 2024/3010
"Ekonomi, administration och försäljning",Bank- och försäkringsrådgivare,Västra Götaland,Göteborg,1,False,400,"Göteborgs Stad, Yrgo",2024,MYH 2024/3923
"Ekonomi, administration och försäljning",Butiksledare inom handel och dagligvaror,Stockholm,Stockholm,1,False,300,"Stockholms stad, Frans Schartaus Handelsinstitut",2024,MYH 2024/4062
"Ekonomi, administration och försäljning",Customer Experience Specialist,Stockholm,Stockholm,1,False,420,IHM Business School AB Stockholm,2024,MYH 2024/3211
"Ekonomi, administration och försäljning",Digital Analytics,Stockholm,Stockholm,1,False,320,Medieinstitutet i Sverige AB,2024,MYH 2024/3978
"Ekonomi, administration och försäljning",Digital Analytics Specialist,Västra Götaland,Göteborg,1,False,415,IHM Business School AB Göteborg,2024,MYH 2024/3296
"Ekonomi, administration och försäljning",Digital butiksledare,Västra Götaland,Uddevalla,1,False,200,"Uddevalla kommun, Uddevalla Yrkeshögskola",2024,MYH 2024/3904
"Ekonomi, administration och försäljning",Digital Marketing Specialist,Västra Götaland,Göteborg,1,False,400,IHM Business School AB Göteborg,2024,MYH 2024/3233
"Ekonomi, administration och försäljning",E-Commerce Logistiker,Stockholm,Stockholm,1,False,400,IHM Business School AB Stockholm,2024,MYH 2024/3190
"Ekonomi, administration och försäljning",E-commerce Manager,Västra Götaland,Göteborg,1,False,400,Sälj & Marknadshögskolan i Sverige AB - Göteborg,2024,MYH 2024/3410
"Ekonomi, administration och försäljning",Ekonomi- och redovisningskonsult,Stockholm,Stockholm,1,False,400,IHM Business School AB Stockholm,2024,MYH 2024/3209
"Ekonomi, administration och försäljning",Ekonomi- och redovisningskonsult,Västra Götaland,Göteborg,1,False,400,"Göteborgs Stad, Yrgo",2024,MYH 2024/3537
"Ekonomi, administration och försäljning",Företagssäljare/B2B,Skåne,Lund,1,False,300,Hermods AB Lund,2024,MYH 2024/3005
"Ekonomi, administration och försäljning",Försäkringsrådgivare/Skadereglerare/Riskbedömare,Stockholm,Stockholm,1,False,400,Företagsekonomiska Institutet 1888 AB,2024,MYH 2024/3775
"Ekonomi, administration och försäljning",Hållbarhetsutvecklare,Västra Götaland,Göteborg,1,False,400,"Göteborgs Stad, Yrgo",2024,MYH 2024/3799
"Ekonomi, administration och försäljning",Inköp & Supply Management,Västra Götaland,Göteborg,1,False,425,NBI i Sverige AB,2024,MYH 2024/3303
"Ekonomi, administration och försäljning",Inköpare & Upphandlare med hållbarhetskompetens,Örebro,Örebro,1,False,430,AVT AB,2024,MYH 2024/4116
"Ekonomi, administration och försäljning",Inköpare med hållbarhetskompetens,Stockholm,Stockholm,1,False,400,Näringslivsakademin,2024,MYH 2024/4077
"Ekonomi, administration och försäljning",Internationell affärslogistiker inriktning hållbarhet och digitalisering,Skåne,Helsingborg,1,False,425,Hermods AB Helsingborg,2024,MYH 2024/2979
"Ekonomi, administration och försäljning",Key Account Manager,Flera kommuner,Flera kommuner,3,True,225,IHM Business School AB Malmö,2024,MYH 2024/3234
"Ekonomi, administration och försäljning",Key Account Manager,Stockholm,Stockholm,1,False,200,Sälj & Marknadshögskolan i Sverige AB - Stockholm,2024,MYH 2024/3309
