,Utbildningsområde,2020,2021,2022,2023,2024
0,Data/IT,356.0,500.0,566.0,601.0,665.0
1,"Ekonomi, administration och försäljning",626.0,678.0,665.0,645.0,664.0
2,Friskvård och kroppsvård,16.0,18.0,23.0,23.0,17.0
3,"Hotell, restaurang och turism",103.0,116.0,110.0,96.0,100.0
4,Hälso- och sjukvård samt socialt arbete,310.0,356.0,377.0,359.0,340.0
5,Journalistik och information,30.0,29.0,29.0,26.0,23.0
6,Juridik,17.0,17.0,13.0,11.0,12.0
7,"Kultur, media och design",158.0,186.0,200.0,214.0,231.0
8,"Lantbruk, djurvård, trädgård, skog och fiske",83.0,91.0,104.0,112.0,127.0
9,Pedagogik och undervisning,51.0,67.0,75.0,64.0,46.0
10,Samhällsbyggnad och byggteknik,419.0,518.0,544.0,513.0,530.0
11,Säkerhetstjänster,16.0,22.0,25.0,28.0,29.0
12,Teknik och tillverkning,431.0,522.0,538.0,541.0,619.0
13,Transporttjänster,107.0,101.0,103.0,96.0,96.0
14,Övrigt,27.0,31.0,36.0,32.0,29.0
15,Totalt,2749.0,3250.0,3408.0,3362.0,3530.0
16,,,,,,
17,"Notera: Avser endast program (YH-utbildningar på minst 100 YH-poäng). Exklusive YH-flex, pedagogiskt stöd, startstöd, tillfälligt startstöd, genomförandestöd, valideringsstöd och studerandeförsäkringar.",,,,,
18,,,,,,
19,Källa: Myndigheten för yrkeshögskolan.,,,,,
