Kommun,Län,"Län, namn",Kod
Upplands Väsby,Stockholm,Stockholms län,114
Vallentuna,Stockholm,Stockholms län,115
Österåker,Stockholm,Stockholms län,117
Värmdö,Stockholm,Stockholms län,120
Järfälla,Stockholm,Stockholms län,123
Ekerö,Stockholm,Stockholms län,125
Huddinge,Stockholm,Stockholms län,126
Botkyrka,Stockholm,Stockholms län,127
Salem,Stockholm,Stockholms län,128
Haninge,Stockholm,Stockholms län,136
Tyresö,Stockholm,Stockholms län,138
Upplands-Bro,Stockholm,Stockholms län,139
Nykvarn,Stockholm,Stockholms län,140
Täby,Stockholm,Stockholms län,160
Danderyd,Stockholm,Stockholms län,162
Sollentuna,Stockholm,Stockholms län,163
Stockholm,Stockholm,Stockholms län,180
Södertälje,Stockholm,Stockholms län,181
Nacka,Stockholm,Stockholms län,182
Sundbyberg,Stockholm,Stockholms län,183
Solna,Stockholm,Stockholms län,184
Lidingö,Stockholm,Stockholms län,186
Vaxholm,Stockholm,Stockholms län,187
Norrtälje,Stockholm,Stockholms län,188
Sigtuna,Stockholm,Stockholms län,191
Nynäshamn,Stockholm,Stockholms län,192
Håbo,Uppsala,Uppsala län,305
Älvkarleby,Uppsala,Uppsala län,319
Knivsta,Uppsala,Uppsala län,330
Heby,Uppsala,Uppsala län,331
Tierp,Uppsala,Uppsala län,360
Uppsala,Uppsala,Uppsala län,380
Enköping,Uppsala,Uppsala län,381
Östhammar,Uppsala,Uppsala län,382
Vingåker,Södermanland,Södermanlands län,428
Gnesta,Södermanland,Södermanlands län,461
Nyköping,Södermanland,Södermanlands län,480
Oxelösund,Södermanland,Södermanlands län,481
Flen,Södermanland,Södermanlands län,482
Katrineholm,Södermanland,Södermanlands län,483
Eskilstuna,Södermanland,Södermanlands län,484
Strängnäs,Södermanland,Södermanlands län,486
Trosa,Södermanland,Södermanlands län,488
Ödeshög,Östergötland,Östergötlands län,509
Ydre,Östergötland,Östergötlands län,512
Kinda,Östergötland,Östergötlands län,513
Boxholm,Östergötland,Östergötlands län,560
Åtvidaberg,Östergötland,Östergötlands län,561
Finspång,Östergötland,Östergötlands län,562
Valdemarsvik,Östergötland,Östergötlands län,563
Linköping,Östergötland,Östergötlands län,580
Norrköping,Östergötland,Östergötlands län,581
Söderköping,Östergötland,Östergötlands län,582
Motala,Östergötland,Östergötlands län,583
Vadstena,Östergötland,Östergötlands län,584
Mjölby,Östergötland,Östergötlands län,586
