,Utbildningsområde,Utbildningsnamn,Län,Kommun,Flera kommuner,YH-poäng,Studieform,Studietakt %,Utbildningsanordnare administrativ enhet,Huvudmannatyp,Sökta platser per utbildningsomgång,Sökta platser totalt,Beviljade platser totalt,Diarienummer,Beslut,Sökta utbildningsomgångar,Beviljade utbildningsomgångar,Ansökningsomgång,Antal kommuner
0,Data/IT,.NET Developer,Jämtland,Östersund,True,425,Bunden,100,KYH AB,Privat,7,35,0,MYH 2020/4419,False,5,0,2020,5
1,Data/IT,.NET Developer,Kronoberg,Växjö,True,425,Bunden,100,KYH AB,Privat,8,40,0,MYH 2020/4419,False,5,0,2020,5
2,Data/IT,.NET Developer,Skåne,Malmö,False,430,Bunden,100,KYH AB Malmö,Privat,35,105,0,MYH 2020/4482,False,3,0,2020,1
3,Data/IT,.NET Developer,Stockholm,Norrtälje,True,425,Bunden,100,KYH AB,Privat,9,45,0,MYH 2020/4419,False,5,0,2020,5
4,Data/IT,.NET Developer,Södermanland,Katrineholm,True,425,Bunden,100,KYH AB,Privat,7,35,0,MYH 2020/4419,False,5,0,2020,5
5,Data/IT,.NET Developer,Södermanland,Vingåker,True,425,Bunden,100,KYH AB,Privat,4,20,0,MYH 2020/4419,False,5,0,2020,5
6,Data/IT,.net utvecklare,Västra Götaland,Göteborg,False,400,Bunden,100,ABF Göteborg Vuxenutbildning AB,Privat,30,90,0,MYH 2020/5610,False,3,0,2020,1
7,Data/IT,.NET Utvecklare ,Västra Götaland,Göteborg,False,400,Bunden,100,Plushögskolan AB - Teknikhögskolan,Privat,30,150,90,MYH 2020/4403,True,5,3,2020,1
8,Data/IT,.NET-utvecklare,Stockholm,Stockholm,False,400,Distans,100,IT-Högskolan Stockholm AB,Privat,35,105,105,MYH 2020/5766,True,3,3,2020,1
9,Data/IT,.NET-utvecklare,Västra Götaland,Göteborg,False,400,Bunden,100,IT-Högskolan Sverige AB,Privat,35,105,105,MYH 2020/5764,True,3,3,2020,1
10,Data/IT,.NET-utvecklare,Västra Götaland,Mölndal,False,400,Distans,100,Campus Mölndal,Kommun,35,175,0,MYH 2020/5579,False,5,0,2020,1
11,Data/IT,365-specialist,Västra Götaland,Mölndal,False,360,Bunden,100,Campus Mölndal,Kommun,30,90,0,MYH 2020/5582,False,3,0,2020,1
12,Data/IT,365-specialist,Västra Götaland,Mölndal,False,360,Distans,100,Campus Mölndal,Kommun,35,105,0,MYH 2020/5583,False,3,0,2020,1
13,Data/IT,Advanced Software Developer Electrical & Autonomous Vehicles,Västra Götaland,Trollhättan,False,400,Distans,100,YrkesAkademin YH AB,Privat,30,150,0,MYH 2020/4074,False,5,0,2020,1
14,Data/IT,Affärsdriven Android-utvecklare,Skåne,Malmö,False,110,Distans,50,Sveriges Yrkeshögskola AB - Malmö Yrkeshögskola,Privat,35,105,0,MYH 2020/4905,False,3,0,2020,1
15,Data/IT,"Affärsdriven applikationsutvecklare dator, webb och mobil",Skåne,Malmö,False,110,Distans,50,Sveriges Yrkeshögskola AB - Malmö Yrkeshögskola,Privat,35,105,0,MYH 2020/4901,False,3,0,2020,1
16,Data/IT,Affärsdriven Backendutvecklare,Skåne,Malmö,False,440,Bunden,100,Sveriges Yrkeshögskola AB - Malmö Yrkeshögskola,Privat,35,105,0,MYH 2020/5530,False,3,0,2020,1
17,Data/IT,Affärsdriven iPhone-utvecklare,Skåne,Malmö,False,110,Distans,50,Sveriges Yrkeshögskola AB - Malmö Yrkeshögskola,Privat,35,105,0,MYH 2020/4906,False,3,0,2020,1
18,Data/IT,Agil Javautvecklare,Gävleborg,Gävle,False,400,Distans,100,Edugrade AB,Privat,35,140,105,MYH 2020/5827,True,4,3,2020,1
19,Data/IT,Agil projektledare,Skåne,Hässleholm,True,200,Bunden,100,Företagsekonomiska Institutet 1888 AB,Privat,5,20,0,MYH 2020/5781,False,4,0,2020,7
20,Data/IT,Agil projektledare,Skåne,Malmö,False,225,Distans,50,IHM Business School AB Malmö,Privat,30,90,90,MYH 2020/5354,True,3,3,2020,1
21,Data/IT,Agil projektledare,Skåne,Malmö,True,200,Bunden,100,Företagsekonomiska Institutet 1888 AB,Privat,5,20,0,MYH 2020/5781,False,4,0,2020,7
22,Data/IT,Agil projektledare,Skåne,Simrishamn,True,200,Bunden,100,Företagsekonomiska Institutet 1888 AB,Privat,5,20,0,MYH 2020/5781,False,4,0,2020,7
23,Data/IT,Agil projektledare,Stockholm,Stockholm,False,225,Distans,50,IHM Business School AB Stockholm,Privat,30,90,90,MYH 2020/5326,True,3,3,2020,1
24,Data/IT,Agil projektledare,Stockholm,Stockholm,True,200,Bunden,100,Företagsekonomiska Institutet 1888 AB,Privat,5,20,0,MYH 2020/5781,False,4,0,2020,7
25,Data/IT,Agil projektledare,Västerbotten,Dorotea,True,200,Bunden,100,Företagsekonomiska Institutet 1888 AB,Privat,5,20,0,MYH 2020/5781,False,4,0,2020,7
26,Data/IT,Agil projektledare,Västerbotten,Lycksele,True,200,Bunden,100,Företagsekonomiska Institutet 1888 AB,Privat,5,20,0,MYH 2020/5781,False,4,0,2020,7
27,Data/IT,Agil projektledare,Västra Götaland,Göteborg,True,200,Bunden,100,Företagsekonomiska Institutet 1888 AB,Privat,5,20,0,MYH 2020/5781,False,4,0,2020,7
28,Data/IT,Agil Projektledare ,Värmland,Karlstad,False,150,Distans,50,Plushögskolan AB - Teknikhögskolan,Privat,35,175,0,MYH 2020/4456,False,5,0,2020,1
29,Data/IT,Agil systemutvecklare i Java och Javascript ,Stockholm,Stockholm,False,400,Bunden,100,Lernia Utbildning AB,Privat,35,175,0,MYH 2020/5074,False,5,0,2020,1
30,Data/IT,Agil systemutvecklare i Java och JavaScript  ,Norrbotten,Piteå,False,400,Bunden,100,Lernia Utbildning AB,Privat,20,60,60,MYH 2020/5071,True,3,3,2020,1
31,Data/IT,Agile Project Leader,Blekinge,Karlskrona,False,325,Bunden,100,Hyper Island Program AB - Karlskrona,Privat,35,105,0,MYH 2020/5067,False,3,0,2020,1
32,Data/IT,Agile Project Manager,Värmland,Karlstad,False,300,Bunden,100,Changemaker Educations AB,Privat,25,75,0,MYH 2020/5740,False,3,0,2020,1
33,Data/IT,Agile Project Manager ,Stockholm,Stockholm,False,300,Bunden,100,Changemaker Educations AB,Privat,35,140,105,MYH 2020/4824,True,4,3,2020,1
34,Data/IT,AI Data Analyst,Stockholm,Stockholm,False,420,Distans,100,Edugrade AB,Privat,35,105,0,MYH 2020/5830,False,3,0,2020,1
35,Data/IT,Applikationsutvecklare,Skåne,Kristianstad,False,400,Bunden,100,Högskolan Kristianstad Uppdrag AB,Privat,30,150,0,MYH 2020/5181,False,5,0,2020,1
36,Data/IT,Applikationsutvecklare mobila enheter,Skåne,Malmö,True,400,Bunden,100,KYH AB,Privat,15,45,45,MYH 2020/4432,True,3,3,2020,2
37,Data/IT,Applikationsutvecklare mobila enheter,Stockholm,Nacka,True,400,Bunden,100,KYH AB,Privat,20,60,60,MYH 2020/4432,True,3,3,2020,2
38,Data/IT,Apputvecklare mobila plattformar,Västra Götaland,Göteborg,False,400,Bunden,100,"Göteborgs Stad, Yrgo",Kommun,25,75,0,MYH 2020/5495,False,3,0,2020,1
39,Data/IT,Automatiserad Dataanalys med inriktning Artificiell Intelligens,Kalmar,Oskarshamn,False,200,Distans,100,Etec Teknikutbildning AB,Privat,20,80,0,MYH 2020/5188,False,4,0,2020,1
40,Data/IT,Azure Cloud Hero,Stockholm,Stockholm,False,400,Distans,100,Enzure Education AB,Privat,35,105,0,MYH 2020/4872,False,3,0,2020,1
41,Data/IT,Backend Developer,Stockholm,Stockholm,False,400,Bunden,100,Hyper Island Program AB - Stockholm,Privat,35,105,0,MYH 2020/4797,False,3,0,2020,1
42,Data/IT,Backend-utvecklare,Västra Götaland,Lidköping,True,400,Bunden,100,"Uddevalla kommun, Vuxenutbildningen",Kommun,8,24,24,MYH 2020/4560,True,3,3,2020,2
43,Data/IT,Backend-utvecklare,Västra Götaland,Uddevalla,True,400,Bunden,100,"Uddevalla kommun, Vuxenutbildningen",Kommun,17,51,51,MYH 2020/4560,True,3,3,2020,2
44,Data/IT,BI-utvecklare/Dataanalytiker,Stockholm,Stockholm,False,400,Bunden,100,Plushögskolan AB - Teknikhögskolan,Privat,30,150,0,MYH 2020/5290,False,5,0,2020,1
45,Data/IT,BI-utvecklare/Dataanalytiker,Västra Götaland,Göteborg,False,400,Bunden,100,Plushögskolan AB - Teknikhögskolan,Privat,30,150,0,MYH 2020/5214,False,5,0,2020,1
46,Data/IT,Business development - Internet of Things,Stockholm,Nacka,False,410,Bunden,100,KYH AB Stockholm,Privat,35,105,0,MYH 2020/4658,False,3,0,2020,1
47,Data/IT,Business development - Internet of Things  ,Kronoberg,Växjö,True,405,Bunden,100,KYH AB,Privat,9,27,0,MYH 2020/4571,False,3,0,2020,4
48,Data/IT,Business development - Internet of Things  ,Stockholm,Norrtälje,True,405,Bunden,100,KYH AB,Privat,9,27,0,MYH 2020/4571,False,3,0,2020,4
49,Data/IT,Business development - Internet of Things  ,Södermanland,Eskilstuna,True,405,Bunden,100,KYH AB,Privat,8,24,0,MYH 2020/4571,False,3,0,2020,4
50,Data/IT,Business development - Internet of Things  ,Värmland,Arvika,True,405,Bunden,100,KYH AB,Privat,9,27,0,MYH 2020/4571,False,3,0,2020,4
51,Data/IT,Business Intelligence Analyst,Västernorrland,Sundsvall,False,400,Distans,100,YrkesAkademin YH AB,Privat,35,105,0,MYH 2020/3820,False,3,0,2020,1
52,Data/IT,Certifierad AI-arkitekt ,Stockholm,Stockholm,False,400,Bunden,100,Lernia Utbildning AB,Privat,35,105,0,MYH 2020/5076,False,3,0,2020,1
53,Data/IT,Cloud and IT-infrastructure specialist,Kalmar,Kalmar,False,400,Bunden,100,"Kalmarsunds Gymnasieförbund, Axel Weüdelskolan",Kommun,25,75,75,MYH 2020/4804,True,3,3,2020,1
54,Data/IT,Cloud developer Azure,Stockholm,Stockholm,False,400,Bunden,100,IT-Högskolan Stockholm AB,Privat,30,90,0,MYH 2020/5756,False,3,0,2020,1
