Diarienummer,Ansökningsomgång,Beslut,Utbildningsanordnare,Huvudmannatyp,Utbildningsområde,Utbildningsnamn,YH-poäng,Studieform,Studietakt %,Sökta utbildningsomgångar,Beviljade utbildningsomgångar,Sökta platser totalt,Beviljade platser totalt,Sökta platser per utbildningsomgång,Län,Kommun,Antal kommuner,Flera kommuner
MYH 2020/1698,2020,True,Folkuniversitetet – Kursverksamheten vid Umeå Universitet,Privat,Samhällsbyggnad och byggteknik,VA-projektör,400,Bunden,100,3,3,30,30.0,10,Gävleborg,Gävle,4,True
MYH 2020/1698,2020,True,Folkuniversitetet – Kursverksamheten vid Umeå Universitet,Privat,Samhällsbyggnad och byggteknik,VA-projektör,400,Bunden,100,3,3,9,9.0,3,Jämtland,Östersund,4,True
MYH 2020/1698,2020,True,Folkuniversitetet – Kursverksamheten vid Umeå Universitet,Privat,Samhällsbyggnad och byggteknik,VA-projektör,400,Bunden,100,3,3,15,15.0,5,Västerbotten,Umeå,4,True
MYH 2020/1698,2020,True,Folkuniversitetet – Kursverksamheten vid Umeå Universitet,Privat,Samhällsbyggnad och byggteknik,VA-projektör,400,Bunden,100,3,3,21,21.0,7,Västernorrland,Sundsvall,4,True
MYH 2020/3237,2020,True,Campus Nyköping,Kommun,Hälso- och sjukvård samt socialt arbete,Behandlingspedagog,400,Bunden,100,4,3,140,105.0,35,Södermanland,Nyköping,1,False
MYH 2020/3238,2020,False,Campus Nyköping,Kommun,Hälso- och sjukvård samt socialt arbete,Specialistundersköterska - psykisk ohälsa,200,Distans,50,3,0,105,0.0,35,Södermanland,Nyköping,1,False
MYH 2020/3330,2020,False,Svea Education AB,Privat,Hälso- och sjukvård samt socialt arbete,Tandsköterska,325,Bunden,100,2,0,68,0.0,34,Stockholm,Stockholm,1,False
MYH 2020/3475,2020,True,Stiftelsen Hantverk & Utbildning,Privat,Övrigt,Hantverkslärling,500,Distans,100,5,5,175,175.0,35,Dalarna,Leksand,1,False
MYH 2020/3586,2020,False,Folkuniversitetet - Kursverksamheten vid Stockholms universitet,Privat,"Ekonomi, administration och försäljning",Kvalificerad rekryterare - rekryteringsspecialist,300,Bunden,100,3,0,75,0.0,25,Östergötland,Linköping,1,False
MYH 2020/3657,2020,False,YrkesAkademin YH AB,Privat,Hälso- och sjukvård samt socialt arbete,Instrument- och steriltekniker,315,Distans,100,5,0,175,0.0,35,Stockholm,Järfälla,1,False
MYH 2020/3659,2020,True,YrkesAkademin YH AB,Privat,Pedagogik och undervisning,Trafiklärare,300,Distans,100,4,4,120,120.0,30,Östergötland,Norrköping,1,False
MYH 2020/3660,2020,True,YrkesAkademin YH AB,Privat,Pedagogik och undervisning,Trafiklärare,300,Distans,100,2,2,30,30.0,15,Jämtland,Östersund,2,True
MYH 2020/3660,2020,True,YrkesAkademin YH AB,Privat,Pedagogik och undervisning,Trafiklärare,300,Distans,100,2,2,30,30.0,15,Västernorrland,Härnösand,2,True
MYH 2020/3663,2020,False,YrkesAkademin YH AB,Privat,Samhällsbyggnad och byggteknik,BIM-samordnare,400,Distans,100,3,0,105,0.0,35,Dalarna,Borlänge,1,False
MYH 2020/3664,2020,True,YrkesAkademin YH AB,Privat,Samhällsbyggnad och byggteknik,BIM-samordnare,400,Distans,100,3,3,105,105.0,35,Västerbotten,Skellefteå,1,False
MYH 2020/3691,2020,False,YrkesAkademin YH AB,Privat,Samhällsbyggnad och byggteknik,Stadsplanerare,400,Distans,100,3,0,48,0.0,16,Skåne,Trelleborg,2,True
MYH 2020/3691,2020,False,YrkesAkademin YH AB,Privat,Samhällsbyggnad och byggteknik,Stadsplanerare,400,Distans,100,3,0,48,0.0,16,Örebro,Örebro,2,True
MYH 2020/3713,2020,False,Hermods AB Umeå,Privat,Teknik och tillverkning,Underhållsingenjör – Smart Maintenance,400,Distans,100,4,0,60,0.0,15,Västerbotten,Umeå,2,True
MYH 2020/3713,2020,False,Hermods AB Umeå,Privat,Teknik och tillverkning,Underhållsingenjör – Smart Maintenance,400,Distans,100,4,0,60,0.0,15,Västernorrland,Örnsköldsvik,2,True
MYH 2020/3719,2020,True,Hermods AB Umeå,Privat,Samhällsbyggnad och byggteknik,Byggnadsingenjör - Produktion,400,Distans,100,4,3,120,90.0,30,Västerbotten,Umeå,1,False
MYH 2020/3720,2020,False,YrkesAkademin YH AB,Privat,Teknik och tillverkning,Diagnostekniker,210,Distans,50,5,0,175,0.0,35,Skåne,Malmö,1,False
MYH 2020/3721,2020,False,YrkesAkademin YH AB,Privat,Teknik och tillverkning,Diagnostekniker,210,Distans,50,5,0,175,0.0,35,Stockholm,Järfälla,1,False
MYH 2020/3722,2020,False,YrkesAkademin YH AB,Privat,Teknik och tillverkning,Diagnostekniker,210,Distans,50,5,0,175,0.0,35,Västra Götaland,Göteborg,1,False
MYH 2020/3724,2020,False,Hermods AB Halmstad,Privat,"Ekonomi, administration och försäljning",Controller financial/business – sustainability,400,Distans,100,4,0,120,0.0,30,Halland,Halmstad,1,False
MYH 2020/3726,2020,False,Hermods AB Umeå,Privat,Transporttjänster,Internationell affärslogistiker inriktning hållbarhet och digitalisering,425,Distans,100,4,0,120,0.0,30,Västerbotten,Umeå,1,False
MYH 2020/3730,2020,True,Skellefteå kommun Vuxenutbildningen,Kommun,Hälso- och sjukvård samt socialt arbete,Stödpedagog,200,Distans,50,5,3,150,90.0,30,Västerbotten,Skellefteå,1,False
MYH 2020/3732,2020,False,Hermods AB Borlänge,Privat,"Ekonomi, administration och försäljning",Controller financial/business – sustainability,400,Bunden,100,4,0,120,0.0,30,Dalarna,Borlänge,1,False
MYH 2020/3734,2020,False,Hermods AB Borlänge,Privat,"Ekonomi, administration och försäljning",Företagssäljare/B2B,400,Bunden,100,4,0,120,0.0,30,Dalarna,Borlänge,1,False
