,Utbildningsområde,Utbildningsnamn,Län,Kommun,Flera kommuner,Antal kommuner,YH-poäng,Utbildningsanordnare administrativ enhet,Diarienummer,Ansökningsomgång
0,Data/IT,.NET Utvecklare ,Västra Götaland,Göteborg,False,1,400,Plushögskolan AB - Teknikhögskolan,MYH 2020/4403,2020
1,Data/IT,.NET-utvecklare,Stockholm,Stockholm,False,1,400,IT-Högskolan Stockholm AB,MYH 2020/5766,2020
2,Data/IT,.NET-utvecklare,Västra Götaland,Göteborg,False,1,400,IT-Högskolan Sverige AB,MYH 2020/5764,2020
3,Data/IT,Agil Javautvecklare,Gävleborg,Gävle,False,1,400,Edugrade AB,MYH 2020/5827,2020
4,Data/IT,Agil projektledare,Skåne,Malmö,False,1,225,IHM Business School AB Malmö,MYH 2020/5354,2020
5,Data/IT,Agil projektledare,Stockholm,Stockholm,False,1,225,IHM Business School AB Stockholm,MYH 2020/5326,2020
6,Data/IT,Agil systemutvecklare i Java och JavaScript  ,Norrbotten,Piteå,False,1,400,Lernia Utbildning AB,MYH 2020/5071,2020
7,Data/IT,Agile Project Manager ,Stockholm,Stockholm,False,1,300,Changemaker Educations AB,MYH 2020/4824,2020
8,Data/IT,Applikationsutvecklare mobila enheter,Flera kommuner,Flera kommuner,True,2,400,KYH AB,MYH 2020/4432,2020
9,Data/IT,Backend-utvecklare,Flera kommuner,Flera kommuner,True,2,400,"Uddevalla kommun, Vuxenutbildningen",MYH 2020/4560,2020
10,Data/IT,Cloud and IT-infrastructure specialist,Kalmar,Kalmar,False,1,400,"Kalmarsunds Gymnasieförbund, Axel Weüdelskolan",MYH 2020/4804,2020
11,Data/IT,Cloud developer Azure,Västra Götaland,Göteborg,False,1,400,IT-Högskolan Sverige AB,MYH 2020/5759,2020
12,Data/IT,Data Analyst,Stockholm,Stockholm,False,1,400,Hyper Island Program AB - Stockholm,MYH 2020/5145,2020
13,Data/IT,Data Scientist,Flera kommuner,Flera kommuner,True,2,400,EC Utbildning AB Helsingborg,MYH 2020/5325,2020
14,Data/IT,Data Scientist,Stockholm,Solna,False,1,400,EC Utbildning AB Stockholm,MYH 2020/5003,2020
15,Data/IT,DevOps Engineer,Skåne,Malmö,False,1,400,JENSEN Education School AB,MYH 2020/5725,2020
16,Data/IT,DevOps Engineer,Stockholm,Solna,False,1,400,Nackademin AB,MYH 2020/5245,2020
17,Data/IT,DevOps Engineer,Stockholm,Stockholm,False,1,415,Chas Academy AB,MYH 2020/5801,2020
18,Data/IT,Front End Developer,Flera kommuner,Flera kommuner,True,5,400,KYH AB,MYH 2020/4521,2020
19,Data/IT,Front End Developer Distans,Stockholm,Stockholm,False,1,400,Medieinstitutet i Sverige AB,MYH 2020/5676,2020
20,Data/IT,Front end webbutvecklare,Skåne,Malmö,False,1,400,Grit Academy AB,MYH 2020/4907,2020
21,Data/IT,Frontend / App Developer,Stockholm,Stockholm,False,1,450,Changemaker Educations AB,MYH 2020/4827,2020
22,Data/IT,Frontendutvecklare,Värmland,Karlstad,False,1,400,Folkuniversitetet Kursverksamheten vid Göteborgs universitet,MYH 2020/5048,2020
23,Data/IT,Frontend-utvecklare,Stockholm,Solna,False,1,400,Nackademin AB,MYH 2020/5302,2020
24,Data/IT,Fullstack Webbutvecklare,Stockholm,Stockholm,False,1,420,Chas Academy AB,MYH 2020/4926,2020
