Diarienummer,Kommun,Län,Beslut
MYH 2020/1698,Gävle,Gävleborg,True
MYH 2020/1698,Sundsvall,Västernorrland,True
MYH 2020/1698,Umeå,Västerbotten,True
MYH 2020/1698,Östersund,Jämtland,True
MYH 2020/3237,Nyköping,Södermanland,True
MYH 2020/3238,Nyköping,Södermanland,False
MYH 2020/3330,Stockholm,Stockholm,False
MYH 2020/3475,Leksand,Dalarna,True
MYH 2020/3586,Linköping,Östergötland,False
MYH 2020/3657,Järfälla,Stockholm,False
MYH 2020/3659,Norrköping,Östergötland,True
MYH 2020/3660,Härnösand,Västernorrland,True
MYH 2020/3660,Östersund,Jämtland,True
MYH 2020/3663,Borlänge,Dalarna,False
MYH 2020/3664,Skellefteå,Västerbotten,True
MYH 2020/3691,Trelleborg,Skåne,False
MYH 2020/3691,Örebro,Örebro,False
MYH 2020/3713,Örnsköldsvik,Västernorrland,False
MYH 2020/3713,Umeå,Västerbotten,False
MYH 2020/3719,Umeå,Västerbotten,True
MYH 2020/3720,Malmö,Skåne,False
MYH 2020/3721,Järfälla,Stockholm,False
MYH 2020/3722,Göteborg,Västra Götaland,False
MYH 2020/3724,Halmstad,Halland,False
MYH 2020/3726,Umeå,Västerbotten,False
MYH 2020/3730,Skellefteå,Västerbotten,True
MYH 2020/3732,Borlänge,Dalarna,False
MYH 2020/3734,Borlänge,Dalarna,False
MYH 2020/3740,Göteborg,Västra Götaland,False
MYH 2020/3743,Sundsvall,Västernorrland,True
MYH 2020/3755,Östersund,Jämtland,False
MYH 2020/3780,Kristianstad,Skåne,False
MYH 2020/3781,Malmö,Skåne,False
MYH 2020/3782,Helsingborg,Skåne,False
MYH 2020/3783,Kristianstad,Skåne,False
MYH 2020/3783,Borlänge,Dalarna,False
MYH 2020/3783,Östersund,Jämtland,False
MYH 2020/3784,Lund,Skåne,False
MYH 2020/3785,Kristianstad,Skåne,False
MYH 2020/3786,Malmö,Skåne,False
MYH 2020/3788,Malmö,Skåne,True
MYH 2020/3789,Helsingborg,Skåne,True
MYH 2020/3793,Lund,Skåne,False
MYH 2020/3800,Göteborg,Västra Götaland,False
MYH 2020/3801,Göteborg,Västra Götaland,False
MYH 2020/3802,Göteborg,Västra Götaland,False
MYH 2020/3803,Malmö,Skåne,True
MYH 2020/3806,Göteborg,Västra Götaland,True
MYH 2020/3808,Sundsvall,Västernorrland,True
MYH 2020/3810,Göteborg,Västra Götaland,True
MYH 2020/3811,Gällivare,Norrbotten,True
MYH 2020/3813,Luleå,Norrbotten,False
MYH 2020/3816,Lund,Skåne,True
MYH 2020/3818,Göteborg,Västra Götaland,False
MYH 2020/3820,Sundsvall,Västernorrland,False
MYH 2020/3833,Skellefteå,Västerbotten,True
MYH 2020/3858,Malmö,Skåne,True
MYH 2020/3859,Västerås,Västmanland,False
MYH 2020/3865,Trollhättan,Västra Götaland,True
MYH 2020/3884,Lund,Skåne,False
MYH 2020/3885,Malmö,Skåne,False
MYH 2020/3898,Göteborg,Västra Götaland,True
MYH 2020/3900,Växjö,Kronoberg,True
MYH 2020/3903,Skellefteå,Västerbotten,False
MYH 2020/3912,Nynäshamn,Stockholm,False
MYH 2020/3912,Gotland,Gotland,False
MYH 2020/3916,Örebro,Örebro,False
