Diarienummer,Ansökningsomgång,Beslut,Utbildningsanordnare,Utbildningsnamn,Utbildningsområde,YH-poäng,Beviljade platser,Beviljade platser totalt,Start,Län,Kommun,Antal kommuner,Flera kommuner
MYH 2024/1000,2024,False,Changemaker Educations AB,Futuregames Accessible Game Production ,Juridik,25,0,0,2024,,,3,True
MYH 2024/1001,2024,False,Changemaker Educations AB,Futuregames Inclusive Game Development,"Ekonomi, administration och försäljning",25,0,0,2024,,,3,True
MYH 2024/1002,2024,False,Båstads kommun Akademi Båstad,Ekosystemtjänster i praktiken,"Lantbruk, djurvård, trädgård, skog och fiske",50,0,0,2024,Skåne,Båstad,1,False
MYH 2024/1003,2024,False,Båstads kommun Akademi Båstad,Hållbar dagvattenhantering i praktiken,"Lantbruk, djurvård, trädgård, skog och fiske",50,0,0,2024,Skåne,Båstad,1,False
MYH 2024/1004,2024,False,Båstads kommun Akademi Båstad,Invasiva växter i utemiljöer,"Lantbruk, djurvård, trädgård, skog och fiske",25,0,0,2024,Skåne,Båstad,1,False
MYH 2024/1006,2024,False,Stiftelsen Stockholms Tekniska Institut,Infrastrukturplanering och strategi,Samhällsbyggnad och byggteknik,50,0,0,2024,Stockholm,Stockholm,1,False
MYH 2024/1007,2024,False,Plushögskolan AB - Affärshögskolan,Hållbara inköps- och upphandlingsprocesser,"Ekonomi, administration och försäljning",45,0,0,2024,,,5,True
MYH 2024/1009,2024,True,Plushögskolan AB - Affärshögskolan,Strategisk hållbarhetsutveckling,"Ekonomi, administration och försäljning",45,50,100,2024,,,4,True
MYH 2024/1009,2024,True,Plushögskolan AB - Affärshögskolan,Strategisk hållbarhetsutveckling,"Ekonomi, administration och försäljning",45,50,100,2025,,,4,True
MYH 2024/1010,2024,True,IHM Business School AB Göteborg,Social media marketing,"Ekonomi, administration och försäljning",40,50,100,2024,Västra Götaland,Göteborg,1,False
MYH 2024/1010,2024,True,IHM Business School AB Göteborg,Social media marketing,"Ekonomi, administration och försäljning",40,50,100,2025,Västra Götaland,Göteborg,1,False
MYH 2024/1014,2024,False,Campus Varberg/Varbergs kommun,AI i praktiken,Data/IT,25,0,0,2024,Halland,Varberg,1,False
MYH 2024/1015,2024,False,"Västra Götalands läns landsting, Biologiska Yrkeshögskolan i Skara - BYS",Vattenhushållning i livsmedelsproduktionen.,"Lantbruk, djurvård, trädgård, skog och fiske",40,0,0,2024,Västra Götaland,Skara,1,False
MYH 2024/1016,2024,True,Plushögskolan AB - Vårdyrkeshögskolan,"E-hälsa, digitalisering och välfärdsteknik inom vård och omsorg",Hälso- och sjukvård samt socialt arbete,50,50,50,2024,,,5,True
MYH 2024/1017,2024,True,Hyper Island Program AB - Karlskrona,Sustainability Change Leadership,"Ekonomi, administration och försäljning",55,55,110,2024,,,2,True
MYH 2024/1017,2024,True,Hyper Island Program AB - Karlskrona,Sustainability Change Leadership,"Ekonomi, administration och försäljning",55,55,110,2025,,,2,True
MYH 2024/1018,2024,True,Plushögskolan AB - Affärshögskolan,Digitalisering och systemkunskap inom lön - Specialisering,"Ekonomi, administration och försäljning",30,50,100,2024,Gävleborg,Gävle,1,False
MYH 2024/1018,2024,True,Plushögskolan AB - Affärshögskolan,Digitalisering och systemkunskap inom lön - Specialisering,"Ekonomi, administration och försäljning",30,50,100,2025,Gävleborg,Gävle,1,False
MYH 2024/1019,2024,True,Plushögskolan AB - Vårdyrkeshögskolan,Psykisk hälsa och suicidprevention,Hälso- och sjukvård samt socialt arbete,30,50,50,2024,,,5,True
MYH 2024/1020,2024,True,Plushögskolan AB - Vårdyrkeshögskolan,Psykisk ohälsa hos äldre,Hälso- och sjukvård samt socialt arbete,60,50,100,2024,,,5,True
MYH 2024/1020,2024,True,Plushögskolan AB - Vårdyrkeshögskolan,Psykisk ohälsa hos äldre,Hälso- och sjukvård samt socialt arbete,60,50,100,2025,,,5,True
MYH 2024/1021,2024,False,Plushögskolan AB - Vårdyrkeshögskolan,SRHR och funktionsnedsättning,Hälso- och sjukvård samt socialt arbete,50,0,0,2024,,,3,True
MYH 2024/1022,2024,True,Nackademin AB,BIM verktyg: Punktmolnsmodellering och Virtual Reality,Samhällsbyggnad och byggteknik,20,32,64,2024,Stockholm,Solna,1,False
MYH 2024/1022,2024,True,Nackademin AB,BIM verktyg: Punktmolnsmodellering och Virtual Reality,Samhällsbyggnad och byggteknik,20,32,64,2025,Stockholm,Solna,1,False
MYH 2024/1023,2024,True,Plushögskolan AB - Vårdyrkeshögskolan,Funktionsnedsättningar och samsjuklighet,Hälso- och sjukvård samt socialt arbete,30,70,70,2024,,,4,True
MYH 2024/1024,2024,True,Plushögskolan AB - Vårdyrkeshögskolan,Missbruk och beroende,Hälso- och sjukvård samt socialt arbete,30,50,100,2024,,,5,True
MYH 2024/1024,2024,True,Plushögskolan AB - Vårdyrkeshögskolan,Missbruk och beroende,Hälso- och sjukvård samt socialt arbete,30,50,100,2025,,,5,True
MYH 2024/1025,2024,True,Nackademin AB,BIM-verktyg: Parametrisk design och programmering ,Samhällsbyggnad och byggteknik,20,32,64,2024,Stockholm,Solna,1,False
MYH 2024/1025,2024,True,Nackademin AB,BIM-verktyg: Parametrisk design och programmering ,Samhällsbyggnad och byggteknik,20,32,64,2025,Stockholm,Solna,1,False
MYH 2024/1026,2024,True,Nackademin AB,Cirkulärt byggande och återbruk ,Samhällsbyggnad och byggteknik,30,45,90,2024,Stockholm,Solna,1,False
MYH 2024/1026,2024,True,Nackademin AB,Cirkulärt byggande och återbruk ,Samhällsbyggnad och byggteknik,30,45,90,2025,Stockholm,Solna,1,False
MYH 2024/1027,2024,True,Plushögskolan AB - Vårdyrkeshögskolan,Mikrobiologi och vårdhygien,Hälso- och sjukvård samt socialt arbete,30,50,50,2024,,,3,True
MYH 2024/1028,2024,False,Plushögskolan AB - Vårdyrkeshögskolan,Omvårdnad vid hjärt-kärlsjukdomar,Hälso- och sjukvård samt socialt arbete,50,0,0,2024,,,4,True
MYH 2024/1029,2024,True,Nackademin AB,Cloud Fundamentals,Data/IT,20,40,80,2024,Stockholm,Solna,1,False
MYH 2024/1029,2024,True,Nackademin AB,Cloud Fundamentals,Data/IT,20,40,80,2025,Stockholm,Solna,1,False
MYH 2024/1030,2024,True,Nackademin AB,Cyber Security,Data/IT,30,40,80,2024,Stockholm,Solna,1,False
MYH 2024/1030,2024,True,Nackademin AB,Cyber Security,Data/IT,30,40,80,2025,Stockholm,Solna,1,False
MYH 2024/1031,2024,True,"Landskrona Stad, Yrkeshögskolan Landskrona",Funktionsnedsättningar i ett helhetsperspektiv,Hälso- och sjukvård samt socialt arbete,50,25,25,2024,Skåne,Landskrona,1,False
MYH 2024/1032,2024,True,Nackademin AB,Energioptimering och förnybara energikällor,Samhällsbyggnad och byggteknik,30,35,35,2024,Stockholm,Solna,1,False
MYH 2024/1033,2024,True,Nackademin AB,Fördjupning i relationsdatabaser för utvecklare,Data/IT,25,30,30,2024,Stockholm,Solna,1,False
MYH 2024/1034,2024,True,Nackademin AB,Inkluderande UX-design,Data/IT,20,40,40,2024,Stockholm,Solna,1,False
MYH 2024/1036,2024,True,Nackademin AB,Kalkyl och inköp - resurseffektiv byggprocess,Samhällsbyggnad och byggteknik,20,45,90,2024,Stockholm,Solna,1,False
MYH 2024/1036,2024,True,Nackademin AB,Kalkyl och inköp - resurseffektiv byggprocess,Samhällsbyggnad och byggteknik,20,45,90,2025,Stockholm,Solna,1,False
MYH 2024/1037,2024,True,Nackademin AB,Klimatdeklarationer,Samhällsbyggnad och byggteknik,20,35,35,2024,Stockholm,Solna,1,False
MYH 2024/1038,2024,True,Nackademin AB,Miljöcertifiering och hållbart byggande ,Samhällsbyggnad och byggteknik,20,30,30,2024,Stockholm,Solna,1,False
MYH 2024/1039,2024,True,Nackademin AB,OT-säkerhet,Säkerhetstjänster,40,30,60,2024,Stockholm,Solna,1,False
MYH 2024/1039,2024,True,Nackademin AB,OT-säkerhet,Säkerhetstjänster,40,30,60,2025,Stockholm,Solna,1,False
MYH 2024/1040,2024,True,Nackademin AB,Prompt Engineering och generativ AI för utvecklare,Data/IT,20,60,60,2024,Stockholm,Solna,1,False
MYH 2024/1041,2024,True,Trelleborgs kommun,Vätgas,Teknik och tillverkning,60,25,50,2024,Skåne,Trelleborg,1,False
MYH 2024/1041,2024,True,Trelleborgs kommun,Vätgas,Teknik och tillverkning,60,25,50,2025,Skåne,Trelleborg,1,False
MYH 2024/1042,2024,True,Nackademin AB,Robotic Process Automation,Data/IT,20,32,64,2024,Stockholm,Solna,1,False
MYH 2024/1042,2024,True,Nackademin AB,Robotic Process Automation,Data/IT,20,32,64,2025,Stockholm,Solna,1,False
MYH 2024/1043,2024,True,Nackademin AB,Skyfalls- och dagvattenhantering,Samhällsbyggnad och byggteknik,25,35,35,2024,Stockholm,Solna,1,False
MYH 2024/1044,2024,True,Nackademin AB,Underhåll och renovering av broar och vägar,Samhällsbyggnad och byggteknik,30,30,30,2024,Stockholm,Solna,1,False
