Diarienummer,Beslut,Kommun
MYH 2024/1000,False,Stockholm
MYH 2024/1000,False,Boden
MYH 2024/1000,False,Malmö
MYH 2024/1001,False,Malmö
MYH 2024/1001,False,Boden
MYH 2024/1001,False,Stockholm
MYH 2024/1002,False,Båstad
MYH 2024/1003,False,Båstad
MYH 2024/1004,False,Båstad
MYH 2024/1006,False,Stockholm
MYH 2024/1007,False,Göteborg
MYH 2024/1007,False,Stockholm
MYH 2024/1007,False,Malmö
MYH 2024/1007,False,Umeå
MYH 2024/1007,False,Jönköping
MYH 2024/1009,True,Göteborg
MYH 2024/1009,True,Jönköping
MYH 2024/1009,True,Örebro
MYH 2024/1009,True,Stockholm
MYH 2024/1010,True,Göteborg
MYH 2024/1014,False,Varberg
MYH 2024/1015,False,Skara
MYH 2024/1016,True,Åmål
MYH 2024/1016,True,Mellerud
MYH 2024/1016,True,Gotland
MYH 2024/1016,True,Mörbylånga
MYH 2024/1016,True,Örnsköldsvik
MYH 2024/1017,True,Stockholm
MYH 2024/1017,True,Karlskrona
MYH 2024/1018,True,Gävle
MYH 2024/1019,True,Umeå
MYH 2024/1019,True,Malmö
MYH 2024/1019,True,Uddevalla
MYH 2024/1019,True,Stockholm
MYH 2024/1019,True,Västerås
MYH 2024/1020,True,Stockholm
MYH 2024/1020,True,Göteborg
MYH 2024/1020,True,Umeå
MYH 2024/1020,True,Växjö
MYH 2024/1020,True,Karlstad
MYH 2024/1021,False,Malmö
MYH 2024/1021,False,Gävle
MYH 2024/1021,False,Göteborg
MYH 2024/1022,True,Solna
MYH 2024/1023,True,Lund
MYH 2024/1023,True,Örebro
MYH 2024/1023,True,Gävle
MYH 2024/1023,True,Stockholm
MYH 2024/1024,True,Linköping
MYH 2024/1024,True,Karlstad
MYH 2024/1024,True,Uppsala
MYH 2024/1024,True,Örebro
MYH 2024/1024,True,Varberg
MYH 2024/1025,True,Solna
MYH 2024/1026,True,Solna
MYH 2024/1027,True,Stockholm
MYH 2024/1027,True,Uddevalla
MYH 2024/1027,True,Umeå
MYH 2024/1028,False,Göteborg
MYH 2024/1028,False,Växjö
MYH 2024/1028,False,Umeå
MYH 2024/1028,False,Stockholm
MYH 2024/1029,True,Solna
MYH 2024/1030,True,Solna
MYH 2024/1031,True,Landskrona
MYH 2024/1032,True,Solna
MYH 2024/1033,True,Solna
MYH 2024/1034,True,Solna
MYH 2024/1036,True,Solna
MYH 2024/1037,True,Solna
MYH 2024/1038,True,Solna
MYH 2024/1039,True,Solna
MYH 2024/1040,True,Solna
MYH 2024/1041,True,Trelleborg
MYH 2024/1042,True,Solna
MYH 2024/1043,True,Solna
MYH 2024/1044,True,Solna
MYH 2024/1047,True,Solna
MYH 2024/1048,True,Solna
