Utbildningsområde,Utbildningsnamn,Län,Kommun,Antal kommuner,Flera kommuner,YH-poäng,Studieform,Studietakt %,Utbildningsanordnare,Huvudmannatyp,Sökta utbildningsomgångar,Beviljade utbildningsomgångar,Sökta platser totalt,Beviljade platser totalt,Sökta platser per utbildningsomgång,Ansökningsomgång,Diarienummer,Beslut
Data/IT,.NET Developer,Jämtland,Östersund,5,True,425,Bunden,100,KYH AB,Privat,5,0,35,0,7,2020,MYH 2020/4419,False
Data/IT,.NET Developer,Kronoberg,Växjö,5,True,425,Bunden,100,KYH AB,Privat,5,0,40,0,8,2020,MYH 2020/4419,False
Data/IT,.NET Developer,Skåne,Malmö,1,False,430,Bunden,100,KYH AB Malmö,Privat,3,0,105,0,35,2020,MYH 2020/4482,False
Data/IT,.NET Developer,Stockholm,Norrtälje,5,True,425,Bunden,100,KYH AB,Privat,5,0,45,0,9,2020,MYH 2020/4419,False
Data/IT,.NET Developer,Södermanland,Katrineholm,5,True,425,Bunden,100,KYH AB,Privat,5,0,35,0,7,2020,MYH 2020/4419,False
Data/IT,.NET Developer,Södermanland,Vingåker,5,True,425,Bunden,100,KYH AB,Privat,5,0,20,0,4,2020,MYH 2020/4419,False
Data/IT,.net utvecklare,Västra Götaland,Göteborg,1,False,400,Bunden,100,ABF Göteborg Vuxenutbildning AB,Privat,3,0,90,0,30,2020,MYH 2020/5610,False
Data/IT,.NET Utvecklare ,Västra Götaland,Göteborg,1,False,400,Bunden,100,Plushögskolan AB - Teknikhögskolan,Privat,5,3,150,90,30,2020,MYH 2020/4403,True
Data/IT,.NET-utvecklare,Stockholm,Stockholm,1,False,400,Distans,100,IT-Högskolan Stockholm AB,Privat,3,3,105,105,35,2020,MYH 2020/5766,True
Data/IT,.NET-utvecklare,Västra Götaland,Göteborg,1,False,400,Bunden,100,IT-Högskolan Sverige AB,Privat,3,3,105,105,35,2020,MYH 2020/5764,True
Data/IT,.NET-utvecklare,Västra Götaland,Mölndal,1,False,400,Distans,100,Campus Mölndal,Kommun,5,0,175,0,35,2020,MYH 2020/5579,False
Data/IT,365-specialist,Västra Götaland,Mölndal,1,False,360,Bunden,100,Campus Mölndal,Kommun,3,0,90,0,30,2020,MYH 2020/5582,False
Data/IT,365-specialist,Västra Götaland,Mölndal,1,False,360,Distans,100,Campus Mölndal,Kommun,3,0,105,0,35,2020,MYH 2020/5583,False
Data/IT,Advanced Software Developer Electrical & Autonomous Vehicles,Västra Götaland,Trollhättan,1,False,400,Distans,100,YrkesAkademin YH AB,Privat,5,0,150,0,30,2020,MYH 2020/4074,False
Data/IT,Affärsdriven Android-utvecklare,Skåne,Malmö,1,False,110,Distans,50,Sveriges Yrkeshögskola AB - Malmö Yrkeshögskola,Privat,3,0,105,0,35,2020,MYH 2020/4905,False
Data/IT,"Affärsdriven applikationsutvecklare dator, webb och mobil",Skåne,Malmö,1,False,110,Distans,50,Sveriges Yrkeshögskola AB - Malmö Yrkeshögskola,Privat,3,0,105,0,35,2020,MYH 2020/4901,False
Data/IT,Affärsdriven Backendutvecklare,Skåne,Malmö,1,False,440,Bunden,100,Sveriges Yrkeshögskola AB - Malmö Yrkeshögskola,Privat,3,0,105,0,35,2020,MYH 2020/5530,False
Data/IT,Affärsdriven iPhone-utvecklare,Skåne,Malmö,1,False,110,Distans,50,Sveriges Yrkeshögskola AB - Malmö Yrkeshögskola,Privat,3,0,105,0,35,2020,MYH 2020/4906,False
Data/IT,Agil Javautvecklare,Gävleborg,Gävle,1,False,400,Distans,100,Edugrade AB,Privat,4,3,140,105,35,2020,MYH 2020/5827,True
Data/IT,Agil projektledare,Skåne,Hässleholm,7,True,200,Bunden,100,Företagsekonomiska Institutet 1888 AB,Privat,4,0,20,0,5,2020,MYH 2020/5781,False
Data/IT,Agil projektledare,Skåne,Malmö,1,False,225,Distans,50,IHM Business School AB Malmö,Privat,3,3,90,90,30,2020,MYH 2020/5354,True
Data/IT,Agil projektledare,Skåne,Malmö,7,True,200,Bunden,100,Företagsekonomiska Institutet 1888 AB,Privat,4,0,20,0,5,2020,MYH 2020/5781,False
Data/IT,Agil projektledare,Skåne,Simrishamn,7,True,200,Bunden,100,Företagsekonomiska Institutet 1888 AB,Privat,4,0,20,0,5,2020,MYH 2020/5781,False
Data/IT,Agil projektledare,Stockholm,Stockholm,1,False,225,Distans,50,IHM Business School AB Stockholm,Privat,3,3,90,90,30,2020,MYH 2020/5326,True
Data/IT,Agil projektledare,Stockholm,Stockholm,7,True,200,Bunden,100,Företagsekonomiska Institutet 1888 AB,Privat,4,0,20,0,5,2020,MYH 2020/5781,False
Data/IT,Agil projektledare,Västerbotten,Dorotea,7,True,200,Bunden,100,Företagsekonomiska Institutet 1888 AB,Privat,4,0,20,0,5,2020,MYH 2020/5781,False
Data/IT,Agil projektledare,Västerbotten,Lycksele,7,True,200,Bunden,100,Företagsekonomiska Institutet 1888 AB,Privat,4,0,20,0,5,2020,MYH 2020/5781,False
Data/IT,Agil projektledare,Västra Götaland,Göteborg,7,True,200,Bunden,100,Företagsekonomiska Institutet 1888 AB,Privat,4,0,20,0,5,2020,MYH 2020/5781,False
Data/IT,Agil Projektledare ,Värmland,Karlstad,1,False,150,Distans,50,Plushögskolan AB - Teknikhögskolan,Privat,5,0,175,0,35,2020,MYH 2020/4456,False
Data/IT,Agil systemutvecklare i Java och Javascript ,Stockholm,Stockholm,1,False,400,Bunden,100,Lernia Utbildning AB,Privat,5,0,175,0,35,2020,MYH 2020/5074,False
Data/IT,Agil systemutvecklare i Java och JavaScript  ,Norrbotten,Piteå,1,False,400,Bunden,100,Lernia Utbildning AB,Privat,3,3,60,60,20,2020,MYH 2020/5071,True
Data/IT,Agile Project Leader,Blekinge,Karlskrona,1,False,325,Bunden,100,Hyper Island Program AB - Karlskrona,Privat,3,0,105,0,35,2020,MYH 2020/5067,False
Data/IT,Agile Project Manager,Värmland,Karlstad,1,False,300,Bunden,100,Changemaker Educations AB,Privat,3,0,75,0,25,2020,MYH 2020/5740,False
Data/IT,Agile Project Manager ,Stockholm,Stockholm,1,False,300,Bunden,100,Changemaker Educations AB,Privat,4,3,140,105,35,2020,MYH 2020/4824,True
Data/IT,AI Data Analyst,Stockholm,Stockholm,1,False,420,Distans,100,Edugrade AB,Privat,3,0,105,0,35,2020,MYH 2020/5830,False
Data/IT,Applikationsutvecklare,Skåne,Kristianstad,1,False,400,Bunden,100,Högskolan Kristianstad Uppdrag AB,Privat,5,0,150,0,30,2020,MYH 2020/5181,False
Data/IT,Applikationsutvecklare mobila enheter,Skåne,Malmö,2,True,400,Bunden,100,KYH AB,Privat,3,3,45,45,15,2020,MYH 2020/4432,True
Data/IT,Applikationsutvecklare mobila enheter,Stockholm,Nacka,2,True,400,Bunden,100,KYH AB,Privat,3,3,60,60,20,2020,MYH 2020/4432,True
Data/IT,Apputvecklare mobila plattformar,Västra Götaland,Göteborg,1,False,400,Bunden,100,"Göteborgs Stad, Yrgo",Kommun,3,0,75,0,25,2020,MYH 2020/5495,False
Data/IT,Automatiserad Dataanalys med inriktning Artificiell Intelligens,Kalmar,Oskarshamn,1,False,200,Distans,100,Etec Teknikutbildning AB,Privat,4,0,80,0,20,2020,MYH 2020/5188,False
Data/IT,Azure Cloud Hero,Stockholm,Stockholm,1,False,400,Distans,100,Enzure Education AB,Privat,3,0,105,0,35,2020,MYH 2020/4872,False
Data/IT,Backend Developer,Stockholm,Stockholm,1,False,400,Bunden,100,Hyper Island Program AB - Stockholm,Privat,3,0,105,0,35,2020,MYH 2020/4797,False
Data/IT,Backend-utvecklare,Västra Götaland,Lidköping,2,True,400,Bunden,100,"Uddevalla kommun, Vuxenutbildningen",Kommun,3,3,24,24,8,2020,MYH 2020/4560,True
Data/IT,Backend-utvecklare,Västra Götaland,Uddevalla,2,True,400,Bunden,100,"Uddevalla kommun, Vuxenutbildningen",Kommun,3,3,51,51,17,2020,MYH 2020/4560,True
Data/IT,BI-utvecklare/Dataanalytiker,Stockholm,Stockholm,1,False,400,Bunden,100,Plushögskolan AB - Teknikhögskolan,Privat,5,0,150,0,30,2020,MYH 2020/5290,False
Data/IT,BI-utvecklare/Dataanalytiker,Västra Götaland,Göteborg,1,False,400,Bunden,100,Plushögskolan AB - Teknikhögskolan,Privat,5,0,150,0,30,2020,MYH 2020/5214,False
Data/IT,Business development - Internet of Things,Stockholm,Nacka,1,False,410,Bunden,100,KYH AB Stockholm,Privat,3,0,105,0,35,2020,MYH 2020/4658,False
Data/IT,Business development - Internet of Things  ,Kronoberg,Växjö,4,True,405,Bunden,100,KYH AB,Privat,3,0,27,0,9,2020,MYH 2020/4571,False
Data/IT,Business development - Internet of Things  ,Stockholm,Norrtälje,4,True,405,Bunden,100,KYH AB,Privat,3,0,27,0,9,2020,MYH 2020/4571,False
Data/IT,Business development - Internet of Things  ,Södermanland,Eskilstuna,4,True,405,Bunden,100,KYH AB,Privat,3,0,24,0,8,2020,MYH 2020/4571,False
