Diarienummer,Beslut,Kommun,Län
MYH 2024/1000,False,Stockholm,Stockholm
MYH 2024/1000,False,Boden,Norrbotten
MYH 2024/1000,False,Malmö,Skåne
MYH 2024/1001,False,Malmö,Skåne
MYH 2024/1001,False,Boden,Norrbotten
MYH 2024/1001,False,Stockholm,Stockholm
MYH 2024/1002,False,Båstad,Skåne
MYH 2024/1003,False,Båstad,Skåne
MYH 2024/1004,False,Båstad,Skåne
MYH 2024/1006,False,Stockholm,Stockholm
MYH 2024/1007,False,Göteborg,Västra Götaland
MYH 2024/1007,False,Stockholm,Stockholm
MYH 2024/1007,False,Malmö,Skåne
MYH 2024/1007,False,Umeå,Västerbotten
MYH 2024/1007,False,Jönköping,Jönköping
MYH 2024/1009,True,Göteborg,Västra Götaland
MYH 2024/1009,True,Jönköping,Jönköping
MYH 2024/1009,True,Örebro,Örebro
MYH 2024/1009,True,Stockholm,Stockholm
MYH 2024/1010,True,Göteborg,Västra Götaland
MYH 2024/1014,False,Varberg,Halland
MYH 2024/1015,False,Skara,Västra Götaland
MYH 2024/1016,True,Åmål,Västra Götaland
MYH 2024/1016,True,Mellerud,Västra Götaland
MYH 2024/1016,True,Gotland,Gotland
MYH 2024/1016,True,Mörbylånga,Kalmar
MYH 2024/1016,True,Örnsköldsvik,Västernorrland
MYH 2024/1017,True,Stockholm,Stockholm
MYH 2024/1017,True,Karlskrona,Blekinge
MYH 2024/1018,True,Gävle,Gävleborg
MYH 2024/1019,True,Umeå,Västerbotten
MYH 2024/1019,True,Malmö,Skåne
MYH 2024/1019,True,Uddevalla,Västra Götaland
MYH 2024/1019,True,Stockholm,Stockholm
MYH 2024/1019,True,Västerås,Västmanland
MYH 2024/1020,True,Stockholm,Stockholm
MYH 2024/1020,True,Göteborg,Västra Götaland
MYH 2024/1020,True,Umeå,Västerbotten
MYH 2024/1020,True,Växjö,Kronoberg
MYH 2024/1020,True,Karlstad,Värmland
MYH 2024/1021,False,Malmö,Skåne
MYH 2024/1021,False,Gävle,Gävleborg
MYH 2024/1021,False,Göteborg,Västra Götaland
MYH 2024/1022,True,Solna,Stockholm
MYH 2024/1023,True,Lund,Skåne
MYH 2024/1023,True,Örebro,Örebro
MYH 2024/1023,True,Gävle,Gävleborg
MYH 2024/1023,True,Stockholm,Stockholm
MYH 2024/1024,True,Linköping,Östergötland
MYH 2024/1024,True,Karlstad,Värmland
MYH 2024/1024,True,Uppsala,Uppsala
MYH 2024/1024,True,Örebro,Örebro
MYH 2024/1024,True,Varberg,Halland
MYH 2024/1025,True,Solna,Stockholm
MYH 2024/1026,True,Solna,Stockholm
MYH 2024/1027,True,Stockholm,Stockholm
MYH 2024/1027,True,Uddevalla,Västra Götaland
MYH 2024/1027,True,Umeå,Västerbotten
MYH 2024/1028,False,Göteborg,Västra Götaland
MYH 2024/1028,False,Växjö,Kronoberg
MYH 2024/1028,False,Umeå,Västerbotten
MYH 2024/1028,False,Stockholm,Stockholm
MYH 2024/1029,True,Solna,Stockholm
MYH 2024/1030,True,Solna,Stockholm
MYH 2024/1031,True,Landskrona,Skåne
MYH 2024/1032,True,Solna,Stockholm
MYH 2024/1033,True,Solna,Stockholm
MYH 2024/1034,True,Solna,Stockholm
MYH 2024/1036,True,Solna,Stockholm
MYH 2024/1037,True,Solna,Stockholm
MYH 2024/1038,True,Solna,Stockholm
MYH 2024/1039,True,Solna,Stockholm
MYH 2024/1040,True,Solna,Stockholm
MYH 2024/1041,True,Trelleborg,Skåne
MYH 2024/1042,True,Solna,Stockholm
MYH 2024/1043,True,Solna,Stockholm
MYH 2024/1044,True,Solna,Stockholm
MYH 2024/1047,True,Solna,Stockholm
MYH 2024/1048,True,Solna,Stockholm
MYH 2024/1049,True,Karlskrona,Blekinge
MYH 2024/1050,True,Umeå,Västerbotten
MYH 2024/1051,True,Umeå,Västerbotten
MYH 2024/1053,False,Ås,Jämtland
MYH 2024/1054,False,Trelleborg,Skåne
MYH 2024/1055,True,Västra Frölunda,Västra Götaland
MYH 2024/1057,True,Luleå,Norrbotten
MYH 2024/1058,True,Örebro,Örebro
MYH 2024/1058,True,Sjöbo,Skåne
MYH 2024/1059,False,Sollefteå,Västernorrland
MYH 2024/1060,False,Växjö,Kronoberg
MYH 2024/1061,False,Örebro,Örebro
MYH 2024/1061,False,Sjöbo,Skåne
MYH 2024/1062,False,Stockholm,Stockholm
MYH 2024/1063,False,Luleå,Norrbotten
MYH 2024/1065,True,Malmö,Skåne
MYH 2024/1069,True,Västra Frölunda,Västra Götaland
MYH 2024/1070,True,Stockholm,Stockholm
MYH 2024/1071,False,Örebro,Örebro
MYH 2024/1072,False,Örebro,Örebro
MYH 2024/1073,True,Stockholm,Stockholm
MYH 2024/1074,False,Stockholm,Stockholm
MYH 2024/1075,False,Båstad,Skåne
MYH 2024/1076,False,Båstad,Skåne
MYH 2024/1077,True,Nässjö,Jönköping
MYH 2024/1078,True,Malmö,Skåne
MYH 2024/1079,False,Piteå,Norrbotten
MYH 2024/1080,True,Västerås,Västmanland
MYH 2024/1081,True,Malmö,Skåne
MYH 2024/1082,True,Älmhult,Kronoberg
MYH 2024/1083,False,Örebro,Örebro
MYH 2024/1084,True,Växjö,Kronoberg
MYH 2024/1084,True,Helsingborg,Skåne
MYH 2024/1085,True,Eskilstuna,Södermanland
MYH 2024/1085,True,Köping,Västmanland
MYH 2024/1085,True,Skövde,Västra Götaland
MYH 2024/1085,True,Arvika,Värmland
MYH 2024/1085,True,Hallsberg,Örebro
MYH 2024/1086,True,Stockholm,Stockholm
MYH 2024/1087,True,Borås,Västra Götaland
MYH 2024/1087,True,Umeå,Västerbotten
MYH 2024/1087,True,Vara,Västra Götaland
MYH 2024/1087,True,Uddevalla,Västra Götaland
MYH 2024/1087,True,Arvika,Värmland
MYH 2024/1088,False,Ånge,Västernorrland
MYH 2024/1088,False,Göteborg,Västra Götaland
MYH 2024/1089,False,Falkenberg,Halland
MYH 2024/1089,False,Stockholm,Stockholm
MYH 2024/1090,False,Ånge,Västernorrland
MYH 2024/1090,False,Hässleholm,Skåne
MYH 2024/1091,False,Falkenberg,Halland
MYH 2024/1091,False,Stockholm,Stockholm
MYH 2024/1091,False,Eslöv,Skåne
MYH 2024/1092,False,Eslöv,Skåne
MYH 2024/1092,False,Ale,Västra Götaland
MYH 2024/1093,False,Helsingborg,Skåne
MYH 2024/1093,False,Uppsala,Uppsala
MYH 2024/1094,True,Piteå,Norrbotten
MYH 2024/1094,True,Göteborg,Västra Götaland
MYH 2024/1095,True,Askersund,Örebro
MYH 2024/1096,True,Örebro,Örebro
MYH 2024/1097,True,Askersund,Örebro
MYH 2024/1098,False,Hallsberg,Örebro
MYH 2024/1099,True,Stockholm,Stockholm
MYH 2024/1099,True,Malmö,Skåne
MYH 2024/1099,True,Umeå,Västerbotten
MYH 2024/1100,True,Malmö,Skåne
MYH 2024/1101,True,Piteå,Norrbotten
MYH 2024/1101,True,Göteborg,Västra Götaland
MYH 2024/1102,True,Köping,Västmanland
MYH 2024/1102,True,Boden,Norrbotten
MYH 2024/1103,True,Simrishamn,Skåne
MYH 2024/1103,True,Umeå,Västerbotten
MYH 2024/1103,True,Tanum,Västra Götaland
MYH 2024/1104,True,Göteborg,Västra Götaland
